,,testing temp,testing temp,testing temp,testing temp,testing temp,testing temp,testing temp,testing temp
,,100K,200K,300K,400K,500K,700K,1000K,2000K
training temp,100K,3.8011161486885125e-06,0.0039794683113856776,0.01802436248205877,0.0447489341390423,0.08256842615527851,0.1909912870705752,0.4375528695145068,2.0139391273788823
training temp,200K,0.0011511248466398308,8.115082389807371e-06,0.0033796340792342982,0.012283265895316062,0.030446824263582327,0.09861534198651761,0.2849945441484326,1.6718743286133146
training temp,300K,0.0041466602291347545,0.0012155946294122102,1.4122680321768255e-05,0.0036035085944110382,0.010675316830132203,0.04605933311046578,0.17548826965136993,1.374488397794214
training temp,400K,0.010212208316057066,0.0033676226122529786,0.0017148183681085364,1.9797370901148543e-05,0.004139102552694341,0.02301274416155769,0.11181303440324843,1.1570426762167987
training temp,500K,0.020089458079137746,0.007886800901030677,0.0033266934500785178,0.0020834052233122576,2.6908791304601394e-05,0.01147432611339549,0.06875757102514192,0.9617050513493827
training temp,700K,0.05292644569201828,0.02476774216758652,0.011116181381271715,0.006022761073461629,0.004109658191370322,5.4728158739850666e-05,0.025869279070435396,0.6158251566197604
training temp,1000K,0.11227150269115077,0.05918220083148817,0.03211265520482282,0.018555476706895543,0.012421761177853605,0.007139058898822497,0.00010018010301289439,0.2910567500482693
training temp,2000K,0.39603182815815974,0.31800266739252175,0.25137118295428323,0.19612692107986315,0.15420700503480053,0.09607079683132903,0.04904296808045585,0.0004730313057592996
