,,-0.1,-0.08979591836734695,-0.07959183673469389,-0.06938775510204082,-0.059183673469387764,-0.048979591836734705,-0.03877551020408164,-0.02857142857142858,-0.018367346938775522,-0.008163265306122464,0.002040816326530595,0.012244897959183654,0.022448979591836726,0.03265306122448977,0.042857142857142844,0.05306122448979589,0.06326530612244896,0.07346938775510203,0.08367346938775508,0.09387755102040815,0.1040816326530612,0.11428571428571427,0.12448979591836731,0.13469387755102039,0.14489795918367346,0.15510204081632653,0.16530612244897955,0.17551020408163262,0.1857142857142857,0.19591836734693877,0.20612244897959178,0.21632653061224486,0.22653061224489793,0.236734693877551,0.24693877551020407,0.2571428571428571,0.2673469387755102,0.27755102040816326,0.28775510204081634,0.2979591836734693,0.30816326530612237,0.31836734693877544,0.3285714285714285,0.3387755102040816,0.34897959183673466,0.35918367346938773,0.3693877551020408,0.3795918367346939,0.38979591836734695,0.4
1000K,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.991563e-06,7.879761e-05,0.00092863914,0.008614275,0.06280739,0.36136553,1.6470418,5.9794784,17.421347,41.174313,80.172485,131.46187,186.8018,237.43112,277.41168,303.6612,316.68256,321.5451,324.45267,328.55884,335.1601,344.4481,350.7789,343.35583,317.65277,280.98822,242.5627,204.11018,164.4222,128.93625,111.36284,124.23825,164.7352,209.98026,232.77736,226.92174,214.4381,223.06886,256.2701,287.49942,284.2864
1000K,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0772456e-06,7.969748e-05,0.0009387621,0.00869672,0.06332128,0.36385348,1.6563743,6.006645,17.482727,41.282154,80.318825,131.61288,186.91428,237.48083,277.41068,303.65604,316.74335,321.71118,324.65063,328.59958,334.95084,344.1579,350.68143,343.49173,317.83,281.08475,242.61201,204.07886,164.03581,127.83823,109.676384,123.111664,165.82245,213.55615,236.50569,227.59964,211.42036,219.35887,255.66972,290.70996,288.26465
1000K,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9854003e-06,7.966886e-05,0.0009373889,0.008689661,0.06328121,0.36369482,1.6559167,6.0057383,17.48196,41.283554,80.326225,131.63008,186.93976,237.50764,277.43103,303.64957,316.6761,321.56952,324.49094,328.54056,335.05008,344.37302,350.91797,343.65674,317.85126,280.96982,242.5163,204.22371,164.48807,128.39389,109.94079,122.710976,164.8751,213.12483,238.00342,231.13788,214.91898,219.75745,251.29643,282.7384,280.21143
1000K,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.117986e-06,8.031646e-05,0.0009442827,0.008740087,0.063592605,0.36515188,1.6611799,6.0203834,17.512999,41.333447,80.38628,131.6841,186.97917,237.53789,277.46124,303.6934,316.741,321.62503,324.46695,328.4071,334.9045,344.3497,351.047,343.86374,318.04016,281.03912,242.30864,203.60136,163.53104,127.40126,109.232346,122.65068,165.8139,214.66035,238.61269,229.6348,212.31941,218.77078,253.8227,288.3386,286.5573
1000K,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0547334e-06,8.015515e-05,0.0009410693,0.00871864,0.06345409,0.3644842,1.6586859,6.0132117,17.497238,41.307125,80.35316,131.65276,186.95836,237.52979,277.4619,303.6859,316.70596,321.57217,324.42078,328.3663,334.87524,344.38974,351.15244,343.8788,317.8947,280.9965,242.74371,204.49023,164.26155,127.24596,108.18239,121.628845,165.73273,215.30652,238.81372,228.59875,210.5649,217.71422,254.58487,290.79364,289.3346
1000K,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1030735e-06,7.8763216e-05,0.0009294757,0.008620905,0.06285292,0.36159688,1.6479603,5.9823127,17.428347,41.188427,80.19546,131.49144,186.82579,237.4348,277.39914,303.6607,316.7064,321.59222,324.55954,328.77533,335.35117,344.2371,349.94125,342.22336,316.87817,280.98544,243.37494,205.61009,166.32272,130.71355,112.309685,123.66688,162.63214,207.8056,232.94785,230.6281,219.79765,225.68759,252.39694,277.67206,273.7486
1000K,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.132458e-06,8.067601e-05,0.0009479648,0.008771604,0.06380105,0.36621776,1.665404,6.0333495,17.54401,41.390797,80.467865,131.77148,187.04518,237.5662,277.45407,303.66574,316.72333,321.67963,324.6476,328.6637,335.05634,344.21362,350.61682,343.37103,317.80447,281.19925,242.74464,204.10281,164.01384,127.98481,110.05404,123.35977,165.38667,212.40857,235.5091,227.7849,212.79984,220.67848,255.53535,289.01028,286.35867
1000K,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2608126e-06,8.2239145e-05,0.0009661596,0.008919578,0.064730845,0.37076214,1.6825813,6.083651,17.658014,41.591206,80.741165,132.06184,187.29013,237.73802,277.56873,303.74368,316.75555,321.61902,324.4305,328.2941,334.74976,344.32852,351.25095,344.05902,317.944,280.82532,242.57266,204.67004,164.88858,128.06062,108.75226,121.433754,164.35173,212.94147,236.27328,226.425,208.95677,217.74133,258.02237,297.4705,295.82056
1000K,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1410412e-06,8.0111124e-05,0.00094149954,0.008719301,0.06346081,0.36451608,1.6587851,6.01338,17.497316,41.30641,80.3509,131.64934,186.95258,237.52359,277.46155,303.70584,316.75098,321.6168,324.44794,328.4039,334.90894,344.27286,350.7734,343.3949,317.61273,281.03394,242.99504,204.87372,164.86327,128.22197,109.424866,122.43278,165.1143,213.13832,236.47229,227.8446,211.73685,219.46773,255.33359,290.03137,287.7274
